Match Number,Round Number,Date,Location,Home Team,Away Team,Result
307,17,18/09/2026 23:30,Target Center,Minnesota Lynx,New York Liberty,
308,17,19/09/2026 02:00,Chase Center,Golden State Valkyries,Portland Fire,
309,17,19/09/2026 17:00,College Park Center,Dallas Wings,Phoenix Mercury,
310,17,19/09/2026 23:00,State Farm Arena,Atlanta Dream,Chicago Sky,
311,17,20/09/2026 01:00,Chase Center,Golden State Valkyries,Seattle Storm,
312,17,20/09/2026 17:00,Mohegan Sun Arena,Connecticut Sun,Minnesota Lynx,
313,17,20/09/2026 19:00,Coca-Cola Coliseum,Toronto Tempo,New York Liberty,
314,17,20/09/2026 20:00,Gainbridge Fieldhouse,Indiana Fever,Washington Mystics,
315,17,20/09/2026 23:00,Crypto.com Arena,Los Angeles Sparks,Portland Fire,
316,17,21/09/2026 01:00,Michelob ULTRA Arena,Las Vegas Aces,Seattle Storm,
317,17,22/09/2026 00:00,Barclays Center,New York Liberty,Atlanta Dream,
318,17,22/09/2026 02:00,Mortgage Matchup Center,Phoenix Mercury,Dallas Wings,
319,17,22/09/2026 23:30,CareFirst Arena,Washington Mystics,Connecticut Sun,
320,17,23/09/2026 00:00,Gainbridge Fieldhouse,Indiana Fever,Minnesota Lynx,
321,17,23/09/2026 00:00,Wintrust Arena,Chicago Sky,Toronto Tempo,
322,17,23/09/2026 02:00,Michelob ULTRA Arena,Las Vegas Aces,Los Angeles Sparks,
323,17,23/09/2026 02:00,Moda Center,Portland Fire,Golden State Valkyries,
324,17,24/09/2026 00:00,Barclays Center,New York Liberty,Atlanta Dream,
325,17,24/09/2026 02:00,Climate Pledge Arena,Seattle Storm,Dallas Wings,
326,17,24/09/2026 23:00,Mohegan Sun Arena,Connecticut Sun,Toronto Tempo,
327,17,24/09/2026 23:30,Capital One Arena,Washington Mystics,Chicago Sky,
328,17,25/09/2026 00:00,Target Center,Minnesota Lynx,Indiana Fever,
329,17,25/09/2026 02:00,Crypto.com Arena,Los Angeles Sparks,Golden State Valkyries,
330,17,25/09/2026 02:00,Mortgage Matchup Center,Phoenix Mercury,Las Vegas Aces,
