Match Number,Round Number,Date,Location,Home Team,Away Team,Result
113,7,04/07/2025 00:00,Target Center,Minnesota Lynx,Washington Mystics,92 - 75
114,8,05/07/2025 23:00,Gainbridge Fieldhouse,Indiana Fever,Los Angeles Sparks,87 - 89
115,8,06/07/2025 00:00,Target Center,Minnesota Lynx,Golden State Valkyries,92 - 75
117,8,06/07/2025 17:00,Barclays Center,New York Liberty,Seattle Storm,70 - 79
116,8,06/07/2025 20:00,Mohegan Sun Arena,Connecticut Sun,Las Vegas Aces,68 - 86
118,8,06/07/2025 23:00,Target Center,Minnesota Lynx,Chicago Sky,80 - 75
119,8,07/07/2025 23:30,Gateway Center Arena @ College Park,Atlanta Dream,Golden State Valkyries,90 - 81
120,8,08/07/2025 02:00,PHX Arena,Phoenix Mercury,Dallas Wings,102 - 72
121,8,08/07/2025 15:30,EagleBank Arena,Washington Mystics,Chicago Sky,81 - 79
122,8,09/07/2025 00:00,Barclays Center,New York Liberty,Las Vegas Aces,87 - 78
123,8,09/07/2025 15:00,Mohegan Sun Arena,Connecticut Sun,Seattle Storm,93 - 83
124,8,09/07/2025 16:00,Gainbridge Fieldhouse,Indiana Fever,Golden State Valkyries,61 - 80
125,8,09/07/2025 19:30,PHX Arena,Phoenix Mercury,Minnesota Lynx,79 - 71
126,8,10/07/2025 00:00,Wintrust Arena,Chicago Sky,Dallas Wings,87 - 76
127,8,10/07/2025 19:00,Crypto.com Arena,Los Angeles Sparks,Minnesota Lynx,82 - 91
128,8,10/07/2025 23:30,EagleBank Arena,Washington Mystics,Las Vegas Aces,70 - 68
129,9,11/07/2025 23:30,Gainbridge Fieldhouse,Indiana Fever,Atlanta Dream,99 - 82
130,9,12/07/2025 02:00,Climate Pledge Arena,Seattle Storm,Connecticut Sun,79 - 65
131,9,12/07/2025 17:00,Wintrust Arena,Chicago Sky,Minnesota Lynx,87 - 81
132,9,12/07/2025 20:00,Michelob ULTRA Arena,Las Vegas Aces,Golden State Valkyries,104 - 102
133,9,13/07/2025 17:00,Gainbridge Fieldhouse,Indiana Fever,Dallas Wings,102 - 83
134,9,13/07/2025 19:00,Barclays Center,New York Liberty,Atlanta Dream,79 - 72
135,9,13/07/2025 22:00,Crypto.com Arena,Los Angeles Sparks,Connecticut Sun,92 - 88
136,9,13/07/2025 22:00,Climate Pledge Arena,Seattle Storm,Washington Mystics,69 - 74
137,9,15/07/2025 00:00,Wintrust Arena,Chicago Sky,Minnesota Lynx,78 - 91
138,9,15/07/2025 02:00,Chase Center,Golden State Valkyries,Phoenix Mercury,77 - 78
139,9,16/07/2025 00:00,TD Garden,Connecticut Sun,Indiana Fever,77 - 85
140,9,16/07/2025 02:00,Crypto.com Arena,Los Angeles Sparks,Washington Mystics,99 - 80
141,9,16/07/2025 16:00,Wintrust Arena,Chicago Sky,Atlanta Dream,49 - 86
142,9,16/07/2025 17:00,Target Center,Minnesota Lynx,Phoenix Mercury,79 - 66
143,9,16/07/2025 19:00,Climate Pledge Arena,Seattle Storm,Golden State Valkyries,67 - 58
144,9,16/07/2025 23:30,Barclays Center,New York Liberty,Indiana Fever,98 - 77
145,9,17/07/2025 00:00,College Park Center,Dallas Wings,Las Vegas Aces,86 - 90
146,10,22/07/2025 23:30,CareFirst Arena,Washington Mystics,Los Angeles Sparks,86 - 93
147,10,23/07/2025 00:00,Barclays Center,New York Liberty,Indiana Fever,98 - 84
148,10,23/07/2025 00:00,Target Center,Minnesota Lynx,Chicago Sky,91 - 68
149,10,23/07/2025 02:00,Michelob ULTRA Arena,Las Vegas Aces,Atlanta Dream,87 - 72
150,10,23/07/2025 02:00,Climate Pledge Arena,Seattle Storm,Dallas Wings,63 - 87
151,10,24/07/2025 02:00,PHX Arena,Phoenix Mercury,Atlanta Dream,79 - 90
152,10,24/07/2025 23:00,Mohegan Sun Arena,Connecticut Sun,Los Angeles Sparks,86 - 101
153,10,24/07/2025 23:00,Gainbridge Fieldhouse,Indiana Fever,Las Vegas Aces,80 - 70
154,10,25/07/2025 00:30,Wintrust Arena,Chicago Sky,Seattle Storm,57 - 95
155,11,25/07/2025 23:30,Barclays Center,New York Liberty,Phoenix Mercury,89 - 76
156,11,25/07/2025 23:30,Target Center,Minnesota Lynx,Las Vegas Aces,109 - 78
157,11,26/07/2025 02:00,Chase Center,Golden State Valkyries,Dallas Wings,86 - 76
158,11,26/07/2025 23:00,Barclays Center,New York Liberty,Los Angeles Sparks,99 - 101
159,11,26/07/2025 23:30,CareFirst Arena,Washington Mystics,Seattle Storm,69 - 58
161,11,27/07/2025 17:00,Mohegan Sun Arena,Connecticut Sun,Golden State Valkyries,95 - 64
160,11,27/07/2025 19:00,United Center,Chicago Sky,Indiana Fever,78 - 93
162,11,27/07/2025 20:00,College Park Center,Dallas Wings,Las Vegas Aces,80 - 106
163,11,27/07/2025 22:00,CareFirst Arena,Washington Mystics,Phoenix Mercury,72 - 88
164,11,27/07/2025 23:00,Target Center,Minnesota Lynx,Atlanta Dream,86 - 90
165,11,28/07/2025 23:00,Mohegan Sun Arena,Connecticut Sun,Seattle Storm,85 - 101
166,11,29/07/2025 00:00,College Park Center,Dallas Wings,New York Liberty,92 - 82
167,11,29/07/2025 23:30,Gateway Center Arena @ College Park,Atlanta Dream,Golden State Valkyries,75 - 77
168,11,29/07/2025 23:30,CareFirst Arena,Washington Mystics,Chicago Sky,103 - 86
169,11,30/07/2025 02:00,Crypto.com Arena,Los Angeles Sparks,Las Vegas Aces,74 - 89
170,11,30/07/2025 23:00,Gainbridge Fieldhouse,Indiana Fever,Phoenix Mercury,107 - 101
171,11,31/07/2025 00:00,College Park Center,Dallas Wings,Atlanta Dream,85 - 88
172,11,31/07/2025 00:00,Target Center,Minnesota Lynx,New York Liberty,100 - 93
173,11,31/07/2025 23:30,CareFirst Arena,Washington Mystics,Golden State Valkyries,67 - 68
174,12,01/08/2025 23:30,Gateway Center Arena @ College Park,Atlanta Dream,Phoenix Mercury,95 - 72
175,12,01/08/2025 23:30,Mohegan Sun Arena,Connecticut Sun,New York Liberty,78 - 62
176,12,01/08/2025 23:30,Wintrust Arena,Chicago Sky,Golden State Valkyries,66 - 73
177,12,01/08/2025 23:30,American Airlines Center,Dallas Wings,Indiana Fever,78 - 88
178,12,02/08/2025 02:00,Climate Pledge Arena,Seattle Storm,Los Angeles Sparks,106 - 108
179,12,02/08/2025 19:00,Michelob ULTRA Arena,Las Vegas Aces,Minnesota Lynx,58 - 111
181,12,03/08/2025 17:00,Mohegan Sun Arena,Connecticut Sun,New York Liberty,78 - 87
180,12,03/08/2025 19:00,Gateway Center Arena @ College Park,Atlanta Dream,Washington Mystics,99 - 83
184,12,03/08/2025 19:00,Climate Pledge Arena,Seattle Storm,Indiana Fever,74 - 78
182,12,03/08/2025 22:00,Wintrust Arena,Chicago Sky,Phoenix Mercury,67 - 83
183,12,03/08/2025 22:00,Michelob ULTRA Arena,Las Vegas Aces,Golden State Valkyries,101 - 77
185,12,05/08/2025 23:00,Barclays Center,New York Liberty,Dallas Wings,85 - 76
186,12,06/08/2025 00:00,Wintrust Arena,Chicago Sky,Washington Mystics,78 - 64
187,12,06/08/2025 02:00,Crypto.com Arena,Los Angeles Sparks,Indiana Fever,100 - 91
188,12,06/08/2025 02:00,PHX Arena,Phoenix Mercury,Connecticut Sun,82 - 66
189,12,06/08/2025 02:00,Climate Pledge Arena,Seattle Storm,Minnesota Lynx,87 - 91
190,12,07/08/2025 02:00,Chase Center,Golden State Valkyries,Las Vegas Aces,72 - 78
191,12,08/08/2025 00:00,Wintrust Arena,Chicago Sky,Atlanta Dream,65 - 86
192,12,08/08/2025 02:00,Crypto.com Arena,Los Angeles Sparks,Connecticut Sun,102 - 91
193,12,08/08/2025 02:00,PHX Arena,Phoenix Mercury,Indiana Fever,95 - 60
194,13,08/08/2025 23:30,College Park Center,Dallas Wings,New York Liberty,77 - 88
195,13,08/08/2025 23:30,Target Center,Minnesota Lynx,Washington Mystics,80 - 76
196,13,09/08/2025 02:00,Michelob ULTRA Arena,Las Vegas Aces,Seattle Storm,90 - 86
198,13,10/08/2025 00:00,Gainbridge Fieldhouse,Indiana Fever,Chicago Sky,92 - 70
197,13,10/08/2025 00:30,Chase Center,Golden State Valkyries,Los Angeles Sparks,72 - 59
199,13,10/08/2025 16:30,Barclays Center,New York Liberty,Minnesota Lynx,71 - 83
